Sno,Sector_Name
0,Agro Chemicals
1,Air Transport Service
2,Alcoholic Beverages
3,Auto Ancillaries
4,Automobile
5,Banks
6,Bearings
7,Cables
8,Capital Goods - Electrical Equipment
9,Capital Goods-Non Electrical Equipment
10,"Castings, Forgings & Fastners"
11,Cement
12,Cement - Products
13,Ceramic Products
14,Chemicals
15,Computer Education
16,Construction
17,Consumer Durables
18,Credit Rating Agencies
19,Crude Oil & Natural Gas
20,"Diamond, Gems and Jewellery"
21,Diversified
22,Dry cells
23,E-Commerce/App based Aggregator
24,Edible Oil
25,Education
26,Electronics
27,Engineering
28,Entertainment
29,ETF
30,Ferro Alloys
31,Fertilizers
32,Finance
33,FMCG
34,Gas Distribution
35,Glass & Glass Products
36,Healthcare
37,Hotels & Restaurants
38,Infrastructure Developers & Operators
39,Infrastructure Investment Trusts
40,Insurance
41,IT - Hardware
42,IT - Software
43,Leather
44,Logistics
45,Marine Port & Services
46,Media - Print/Television/Radio
47,Mining & Mineral products
48,Miscellaneous
49,Non Ferrous Metals
50,Oil Drill/Allied
51,Online Media
52,Packaging
53,Paints/Varnish
54,Paper
55,Petrochemicals
56,Pharmaceuticals
57,Plantation & Plantation Products
58,Plastic products
59,Power Generation & Distribution
60,Power Infrastructure
61,Printing & Stationery
62,Quick Service Restaurant
63,Railways
64,Readymade Garments/ Apparells
65,Real Estate Investment Trusts
66,Realty
67,Refineries
68,Refractories
69,Retail
70,Sanitaryware
71,Ship Building
72,Shipping
73,Steel
74,Stock/ Commodity Brokers
75,Sugar
76,Telecom-Handsets/Mobile
77,Telecomm Equipment & Infra Services
78,Telecomm-Service
79,Textiles
80,Tobacco Products
81,Trading
82,Tyres
